"tx_merchant_clean","month_number","year(Post_date)","key","value"
"DP WORLD UAE REGION FZ",9,2013,"Sum",2300850
"DP WORLD UAE REGION FZ",10,2013,"Sum",3286455
"DP WORLD UAE REGION FZ",11,2013,"Sum",3625251
"DP WORLD UAE REGION FZ",12,2013,"Sum",3280786
"DU",1,2014,"Sum",4845229.27
"DU",2,2014,"Sum",4542377.42
"DU",3,2014,"Sum",5433465.75
"DU",4,2014,"Sum",4960772.71
"DU",5,2014,"Sum",5130464.31
"DU",6,2014,"Sum",5854010.1
"DU",7,2014,"Sum",5925371.35
"DU",8,2014,"Sum",5562744.4
"DU",9,2013,"Sum",4882726.02
"DU",10,2013,"Sum",4545233.36
"DU",11,2013,"Sum",5041383.79
"DU",12,2013,"Sum",4887706.12
"DUBAI AMERICAN ACADEMY",1,2014,"Sum",388364
"DUBAI AMERICAN ACADEMY",2,2014,"Sum",742994
"DUBAI AMERICAN ACADEMY",3,2014,"Sum",421597
"DUBAI AMERICAN ACADEMY",4,2014,"Sum",28236
"DUBAI AMERICAN ACADEMY",5,2014,"Sum",132372
"DUBAI AMERICAN ACADEMY",6,2014,"Sum",227972
"DUBAI AMERICAN ACADEMY",8,2014,"Sum",637141
"DUBAI AMERICAN ACADEMY",9,2013,"Sum",369153
"DUBAI AMERICAN ACADEMY",10,2013,"Sum",170922
"DUBAI AMERICAN ACADEMY",11,2013,"Sum",261489
"DUBAI AMERICAN ACADEMY",12,2013,"Sum",273028
"DUBAI E-GOVERNMENT",1,2014,"Sum",-4043
"DUBAI E-GOVERNMENT",2,2014,"Sum",-67020
"DUBAI E-GOVERNMENT",3,2014,"Sum",-9980
"DUBAI E-GOVERNMENT",4,2014,"Sum",-40010
"DUBAI E-GOVERNMENT",5,2014,"Sum",-3710
"DUBAI E-GOVERNMENT",6,2014,"Sum",-51561
"DUBAI E-GOVERNMENT",7,2014,"Sum",-84185
"DUBAI E-GOVERNMENT",8,2014,"Sum",-40640
"DUBAI E-GOVERNMENT",9,2013,"Sum",14066582.08
"DUBAI E-GOVERNMENT",10,2013,"Sum",-27081
"DUBAI E-GOVERNMENT",11,2013,"Sum",-17250
"DUBAI E-GOVERNMENT",12,2013,"Sum",-18470
"DUBAI ELECTRICITY&WATE",1,2014,"Sum",219284.74
"DUBAI ELECTRICITY&WATE",2,2014,"Sum",223628.41
"DUBAI ELECTRICITY&WATE",3,2014,"Sum",182456.64
"DUBAI ELECTRICITY&WATE",4,2014,"Sum",197976.65
"DUBAI ELECTRICITY&WATE",5,2014,"Sum",250484.62
"DUBAI ELECTRICITY&WATE",6,2014,"Sum",467518.48
"DUBAI ELECTRICITY&WATE",7,2014,"Sum",325948.88
"DUBAI ELECTRICITY&WATE",8,2014,"Sum",465188.87
"DUBAI ELECTRICITY&WATE",9,2013,"Sum",293750.24
"DUBAI ELECTRICITY&WATE",10,2013,"Sum",360624.35
"DUBAI ELECTRICITY&WATE",11,2013,"Sum",348971.59
"DUBAI ELECTRICITY&WATE",12,2013,"Sum",282237.82
"DUBAI SMART GOVERNMENT",1,2014,"Sum",30017979.92
"DUBAI SMART GOVERNMENT",2,2014,"Sum",30180437.59
"DUBAI SMART GOVERNMENT",3,2014,"Sum",32609778.51
"DUBAI SMART GOVERNMENT",4,2014,"Sum",32103058.8
"DUBAI SMART GOVERNMENT",5,2014,"Sum",36785714.24
"DUBAI SMART GOVERNMENT",6,2014,"Sum",36935224.86
"DUBAI SMART GOVERNMENT",7,2014,"Sum",33667361.12
"DUBAI SMART GOVERNMENT",8,2014,"Sum",35849721.3
"DUBAI SMART GOVERNMENT",9,2013,"Sum",16403884.45
"DUBAI SMART GOVERNMENT",10,2013,"Sum",31634131.47
"DUBAI SMART GOVERNMENT",11,2013,"Sum",34868972.16
"DUBAI SMART GOVERNMENT",12,2013,"Sum",31937314.62
"E I T TELECOM-DU",1,2014,"Sum",488072.14
"E I T TELECOM-DU",2,2014,"Sum",409921.91
"E I T TELECOM-DU",3,2014,"Sum",410090.77
"E I T TELECOM-DU",4,2014,"Sum",392213.7
"E I T TELECOM-DU",5,2014,"Sum",426695.99
"E I T TELECOM-DU",6,2014,"Sum",482869.91
"E I T TELECOM-DU",7,2014,"Sum",420015.34
"E I T TELECOM-DU",8,2014,"Sum",355980.88
"E I T TELECOM-DU",9,2013,"Sum",418866.64
"E I T TELECOM-DU",10,2013,"Sum",392689.17
"E I T TELECOM-DU",11,2013,"Sum",462002.29
"E I T TELECOM-DU",12,2013,"Sum",425462.96
"EM AIR",1,2014,"Sum",8939370.13
"EM AIR",9,2013,"Sum",4125446.03
"EM AIR",10,2013,"Sum",10367577.56
"EM AIR",11,2013,"Sum",8341518.67
"EM AIR",12,2013,"Sum",9372625.62
"EMAAR PROPERTIES PJSC",1,2014,"Sum",751056.42
"EMAAR PROPERTIES PJSC",2,2014,"Sum",1421419.46
"EMAAR PROPERTIES PJSC",3,2014,"Sum",804761.01
"EMAAR PROPERTIES PJSC",4,2014,"Sum",1129435.97
"EMAAR PROPERTIES PJSC",5,2014,"Sum",1174023.6
"EMAAR PROPERTIES PJSC",6,2014,"Sum",775087.03
